"","team","pass_plays","rush_plays","tot_plays","pass_epa","rush_epa","tot_epa","epa_per_pass","epa_per_rush","epa_per_play","pass_rank","rush_rank","tot_rank"
"1","ARI",704,414,1118,183.795883802343,-47.9219829394859,135.873900862857,0.261073698582873,-0.115753581979435,0.121533006138512,31,6,30
"2","ATL",625,391,1016,105.980276880341,-25.2425562958401,80.7377205845012,0.169568443008546,-0.0645589675085424,0.0794662604178162,24,18,22
"3","BAL",642,318,960,-50.7805148181064,-11.1554065695218,-61.9359213876282,-0.0790973751060848,-0.0350798948727099,-0.0645165847787793,4,21,4
"4","BUF",645,368,1013,-57.0046246997548,1.38016448175311,-55.6244602180017,-0.0883792631003951,0.00375044696128562,-0.0549106221303077,3,25,5
"5","CAR",662,411,1073,42.8265864035108,44.5383644608571,87.3649508643679,0.0646927287062097,0.108365850269725,0.0814212030422814,14,32,23
"6","CHI",659,394,1053,25.6316107076129,-43.8645999509942,-18.2329892433813,0.0388947051708845,-0.111331471956838,-0.0173152794334105,11,8,8
"7","CIN",582,454,1036,111.740641523888,2.86815085902023,114.608792382909,0.191994229422488,0.0063175129053309,0.11062624747385,26,26,29
"8","CLE",612,422,1034,66.6096294837696,8.91851257918176,75.5281420629513,0.108839263862369,0.0211339160644118,0.0730446248191019,20,29,20
"9","DAL",684,374,1058,27.4816336840631,-22.3838315525394,5.09780213152371,0.040177827023484,-0.0598498169853994,0.00481833849860464,12,19,12
"10","DEN",633,407,1040,38.9228426403011,-28.5537727265733,10.3690699137277,0.0614894828440775,-0.0701566897458804,0.0099702595324305,13,15,15
"11","DET",701,417,1118,141.964912742225,-28.6290224620541,113.335890280171,0.202517707192903,-0.0686547301248301,0.101373783792639,28,16,25
"12","GB",634,385,1019,-13.0980560881628,19.3372001564674,6.23914406830457,-0.0206593944608247,0.0502264939129024,0.00612281066565709,6,30,13
"13","HOU",684,373,1057,128.481822729652,-19.9158317547752,108.565990974877,0.187838922119375,-0.0533936508170918,0.102711438954472,25,20,26
"14","IND",657,353,1010,84.3759292618609,-36.6713811463185,47.7045481155424,0.128426071935861,-0.103884932425831,0.0472322258569727,21,10,19
"15","JAX",617,408,1025,81.4800648703216,24.4369364445764,105.917001314898,0.132058451977831,0.0598944520700401,0.103333659819413,22,31,28
"16","KC",716,374,1090,17.1621187172944,4.63238126026718,21.7944999775616,0.0239694395492939,0.012386046150447,0.0199949541078547,9,27,17
"17","LA",663,412,1075,12.05376699594,0.901080987862743,12.9548479838027,0.0181806440361086,0.00218708977636588,0.0120510213802816,8,24,16
"18","LAC",556,395,951,82.9520562663359,-9.07710098069955,73.8749552856364,0.149194345802763,-0.0229800024827837,0.07768134099436,23,23,21
"19","MIA",615,472,1087,157.305344104378,8.0184843265795,165.323828430958,0.255781047324192,0.0169883142512278,0.152091838482942,30,28,32
"20","MIN",690,392,1082,10.5083675974653,-32.4295818898584,-21.9212142923931,0.015229518257196,-0.0827285252292305,-0.0202599023035057,7,13,7
"21","NE",652,331,983,-147.078610439765,-42.6932317312255,-189.77184217099,-0.225580690858535,-0.128982573206119,-0.193053756023388,1,5,1
"22","NO",729,318,1047,51.3351064443019,-51.4146974574962,-0.0795910131943142,0.0704185273584389,-0.161681438545586,-7.60181596889343e-05,16,3,10
"23","NYG",656,429,1085,151.189294512233,-41.5896259899872,109.599668522246,0.23047148553694,-0.0969455151281752,0.101013519375342,29,12,24
"24","NYJ",692,376,1068,58.4194094623146,-64.3788299479584,-5.95942048564374,0.084421111939761,-0.171220292414783,-0.00557998172813084,18,2,9
"25","OAK",644,373,1017,176.364097408913,-24.3650432330049,151.999054175908,0.273857294113219,-0.0653218317238738,0.149458263693125,32,17,31
"26","PHI",667,332,999,54.2286295531365,-53.1753290452061,1.0533005079304,0.0813022931831133,-0.160166653750621,0.00105435486279319,17,4,11
"27","PIT",629,436,1065,-46.9563623166407,-49.0642173412822,-96.0205796579229,-0.0746524043189836,-0.112532608580922,-0.0901601686928853,5,7,3
"28","SEA",689,362,1051,71.5810525869096,-26.1282676468359,45.4527849400737,0.103891222912786,-0.0721775349360108,0.0432471788202414,19,14,18
"29","SF",636,378,1014,-83.4609270791322,-38.1829419623021,-121.643869041434,-0.131227872765931,-0.101013073974344,-0.119964367890961,2,11,2
"30","TB",785,332,1117,27.6530253001194,-71.9031581226599,-44.2501328225405,0.0352267838218081,-0.216575777477891,-0.0396151591965447,10,1,6
"31","TEN",712,383,1095,49.3698606702952,-42.057818624192,7.31204204610316,0.0693396919526617,-0.109811536877786,0.00667766396904398,15,9,14
"32","WAS",643,471,1114,125.857637222626,-11.3686343529334,114.489002869692,0.195735050112948,-0.0241372279255487,0.102772893060765,27,22,27
