"","team","pass_plays","rush_plays","tot_plays","pass_epa","rush_epa","tot_epa","epa_per_pass","epa_per_rush","epa_per_play","pass_rank","rush_rank","tot_rank"
"1","ARI",668,360,1028,30.175798619569,30.4633768021765,60.6391754217455,0.0451733512268997,0.084620491117157,0.0589875247293244,19,2,11
"2","ATL",804,343,1147,103.607974227279,-43.738957990879,59.8690162364004,0.128865639586168,-0.127518827961746,0.0521961780613779,11,26,13
"3","BAL",528,543,1071,172.248852580785,61.9284879755824,234.177340556367,0.326228887463608,0.114048780802177,0.218652979044227,1,1,1
"4","BUF",619,417,1036,17.1796400392976,-23.4321475999701,-6.25250756067249,0.0277538611297216,-0.0561922004795447,-0.00603523895817808,21,17,21
"5","CAR",738,361,1099,-40.3905328012907,-5.30803936012656,-45.6985721614172,-0.0547297192429413,-0.0147037101388547,-0.0415819582906435,29,8,25
"6","CHI",681,371,1052,4.82051674765129,-67.7117633332294,-62.8912465855781,0.0070785855325276,-0.18251149146423,-0.0597825537885724,25,30,28
"7","CIN",710,366,1076,-45.8793758491777,-40.7141298193624,-86.5935056685401,-0.064618839224194,-0.111240791856182,-0.0804772357514314,30,24,29
"8","CLE",648,378,1026,5.7989149033692,-20.9417614284279,-15.1428465250587,0.00894894275211296,-0.0554014852603912,-0.0147591096735465,24,16,22
"9","DAL",673,430,1103,141.533709124951,20.9669368674277,162.500645992379,0.210302688150001,0.0487603182963436,0.147326061643136,6,4,3
"10","DEN",604,388,992,12.152512220192,-28.2689325168564,-16.1164202966644,0.0201200533446887,-0.0728580734970526,-0.0162463914280891,22,18,23
"11","DET",678,380,1058,59.4784280363915,-53.1546774290561,6.32375060733548,0.0877262950389256,-0.139880730076463,0.00597707996912616,16,28,20
"12","GB",681,369,1050,83.3716661863486,3.52046694477391,86.8921331311225,0.122425354164976,0.00954056082594556,0.0827544125058309,13,5,9
"13","HOU",665,380,1045,102.806042907018,-0.831489428653866,101.974553478364,0.154595553243637,-0.00218813007540491,0.0975833047639851,9,6,7
"14","IND",621,432,1053,20.8665487539559,25.4342179015527,46.3007666555086,0.033601527784148,0.0588755044017424,0.0439703387041867,20,3,16
"15","JAX",729,341,1070,12.9849886505607,-41.5855649107793,-28.6005762602186,0.017812055762086,-0.121951803257417,-0.0267295105235687,23,25,24
"16","KC",687,339,1026,177.354465101095,-15.6590609643284,161.695404136767,0.258157882243225,-0.0461919202487562,0.157597859782424,2,14,2
"17","LA",710,384,1094,59.0333143497267,-37.8902797664259,21.1430345833008,0.0831455131686291,-0.0986726035584007,0.0193263570231269,17,22,19
"18","LAC",685,357,1042,91.6580377105689,-30.6486405073428,61.0093972032262,0.133807354321998,-0.0858505336340133,0.0585502852238255,10,20,12
"19","MIA",756,304,1060,2.88719441212506,-62.9946206780467,-60.1074262659217,0.00381904022767866,-0.207219146967259,-0.056705119118794,26,32,27
"20","MIN",534,463,997,117.036617954699,-19.4388055569668,97.5978123977325,0.219169696544381,-0.0419844612461487,0.0978914868583074,4,13,6
"21","NE",693,435,1128,43.3565216837327,-16.7495948735272,26.6069268102056,0.0625635233531497,-0.0385048158012119,0.0235877010728773,18,12,18
"22","NO",653,386,1039,145.098645781142,-19.9699411212527,125.12870465989,0.222203132896083,-0.0517355987597219,0.120431862040317,3,15,4
"23","NYG",718,335,1053,-17.1249944504963,-29.6424790805596,-46.7674735310559,-0.0238509672012483,-0.0884850121807751,-0.0444135551102146,27,21,26
"24","NYJ",625,365,990,-66.0898472459008,-61.7887491504747,-127.878596396375,-0.105743755593441,-0.169284244247876,-0.129170299390278,32,29,32
"25","OAK",586,413,999,93.7881438943907,-12.8444706720032,80.9436732223876,0.160048027123534,-0.0311004132494023,0.0810246979203079,8,10,10
"26","PHI",718,426,1144,74.2116245636849,-15.6542227911053,58.5574017725797,0.103358808584519,-0.0367470018570546,0.0511865400109962,14,11,14
"27","PIT",605,370,975,-20.1926978834496,-67.5974895746198,-87.7901874580695,-0.0333763601379332,-0.182695917769243,-0.0900412179057123,28,31,30
"28","SEA",652,432,1084,81.0124596856623,-32.2739837069756,48.7384759786867,0.124252238781691,-0.0747082956179991,0.0449616937072756,12,19,15
"29","SF",564,469,1033,119.836409186816,-13.645744712247,106.190664474569,0.212475902813504,-0.029095404503725,0.102798319917298,5,9,5
"30","TB",745,370,1115,73.399299165971,-40.9306333933862,32.4686657725847,0.0985225492160684,-0.110623333495638,0.0291198796166679,15,23,17
"31","TEN",560,407,967,91.2416752474192,-2.21273666219714,89.0289385852221,0.16293156294182,-0.00543669941571778,0.0920671546899918,7,7,8
"32","WAS",577,341,918,-60.3700473734984,-43.8201576298921,-104.190205003391,-0.104627465118715,-0.128504861084728,-0.113496955341384,31,27,31
